downloaded,item_id,item_definition,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,word,freq,freqrank
2022-09-22,130,pancake,food_drink,0.04,0.08,0.11,0.2,0.22,0.25,0.32,0.49,0.52,0.57,0.62,0.64,0.78,0.7,0.78,pancake,927582,0.9177246708986836
2022-09-22,131,peas,food_drink,0.06,0.1,0.14,0.26,0.26,0.26,0.33,0.42,0.48,0.52,0.56,0.57,0.7,0.62,0.67,peas,5718446,0.9723458893835575
2022-09-22,132,peanut butter,food_drink,0.03,0.07,0.09,0.18,0.18,0.24,0.31,0.42,0.47,0.49,0.58,0.6,0.79,0.66,0.7,peanutbutter,46161,0.5320731282925132
2022-09-22,133,pickle,food_drink,0.02,0.04,0.08,0.14,0.15,0.17,0.22,0.31,0.34,0.43,0.43,0.45,0.65,0.57,0.58,pickle,1402073,0.9352357409429638
2022-09-22,134,pizza,food_drink,0.07,0.13,0.22,0.35,0.39,0.45,0.53,0.65,0.69,0.78,0.78,0.82,0.92,0.87,0.91,pizza,14763787,0.9861159444637778
2022-09-22,135,popcorn,food_drink,0.03,0.07,0.12,0.18,0.22,0.26,0.32,0.39,0.47,0.57,0.57,0.62,0.79,0.71,0.73,popcorn,2889969,0.9576038304153217
2022-09-22,136,popsicle,food_drink,0.03,0.04,0.09,0.13,0.16,0.2,0.28,0.28,0.35,0.45,0.46,0.52,0.69,0.61,0.64,popsicle,215477,0.8070782283129132
2022-09-22,138,potato,food_drink,0.02,0.06,0.08,0.14,0.19,0.2,0.27,0.39,0.41,0.46,0.49,0.53,0.74,0.66,0.66,potato,6397517,0.9743558974235897
2022-09-22,139,pretzel,food_drink,0.03,0.06,0.08,0.15,0.16,0.19,0.2,0.28,0.34,0.44,0.4,0.45,0.72,0.5,0.56,pretzel,337914,0.8512744050976204
2022-09-22,140,pudding,food_drink,0.01,0.02,0.04,0.06,0.07,0.07,0.1,0.13,0.16,0.25,0.23,0.26,0.48,0.35,0.37,pudding,2040237,0.948000792003168
2022-09-22,141,pumpkin,food_drink,0.03,0.06,0.07,0.16,0.17,0.2,0.25,0.35,0.39,0.46,0.43,0.52,0.7,0.6,0.67,pumpkin,3457437,0.9619928479713918
2022-09-22,142,raisin,food_drink,0.04,0.05,0.11,0.2,0.23,0.26,0.31,0.4,0.43,0.56,0.57,0.58,0.77,0.6,0.65,raisin,724623,0.9048066192264769
2022-09-22,143,salt,food_drink,0,0.02,0.03,0.06,0.06,0.09,0.13,0.2,0.22,0.24,0.3,0.34,0.53,0.43,0.46,salt,25320518,0.9908619634478538
2022-09-22,144,sandwich,food_drink,0.02,0.04,0.06,0.13,0.15,0.17,0.28,0.38,0.43,0.51,0.53,0.6,0.81,0.72,0.75,sandwich,6382356,0.974313897255589
2022-09-22,145,sauce,food_drink,0.03,0.02,0.04,0.08,0.1,0.15,0.17,0.28,0.31,0.32,0.31,0.39,0.55,0.51,0.55,sauce,10968629,0.9827379309517238
2022-09-22,146,soda/pop,food_drink,0.03,0.06,0.09,0.11,0.19,0.16,0.24,0.17,0.26,0.34,0.36,0.32,0.64,0.41,0.41,soda,3940026,0.9649238596954388
2022-09-22,147,soup,food_drink,0.03,0.05,0.09,0.16,0.19,0.25,0.34,0.4,0.46,0.5,0.55,0.56,0.73,0.68,0.72,soup,10543301,0.9821709286837147
2022-09-22,148,spaghetti,food_drink,0.03,0.07,0.1,0.17,0.2,0.24,0.29,0.39,0.46,0.55,0.55,0.59,0.79,0.66,0.74,spaghetti,2158989,0.9496537986151945
2022-09-22,149,strawberry,food_drink,0.07,0.09,0.15,0.22,0.23,0.35,0.4,0.5,0.56,0.59,0.64,0.66,0.79,0.76,0.8,strawberry,4169376,0.9660698642794571
2022-09-22,150,toast,food_drink,0.09,0.12,0.17,0.24,0.26,0.31,0.36,0.47,0.52,0.54,0.57,0.62,0.79,0.65,0.69,toast,3262695,0.9605318421273685
2022-09-22,151,tuna,food_drink,0.01,0.03,0.04,0.05,0.04,0.05,0.11,0.15,0.15,0.18,0.21,0.25,0.4,0.26,0.33,tuna,2842548,0.9572318289273157
2022-09-22,152,vanilla,food_drink,0,0.01,0.02,0.04,0.02,0.05,0.05,0.08,0.11,0.14,0.18,0.23,0.34,0.28,0.37,vanilla,5422197,0.9713528854115416
2022-09-22,153,vitamins,food_drink,0.02,0.03,0.05,0.09,0.11,0.13,0.19,0.17,0.26,0.36,0.39,0.42,0.57,0.45,0.5,vitamins,10139447,0.9816789267157069
2022-09-22,154,water (beverage),food_drink,0.23,0.33,0.43,0.54,0.58,0.64,0.66,0.77,0.8,0.84,0.85,0.89,0.94,0.89,0.9,water,215178488,0.9990009960039841
2022-09-22,155,yogurt,food_drink,0.08,0.15,0.21,0.31,0.33,0.37,0.45,0.55,0.61,0.62,0.65,0.67,0.76,0.75,0.84,yogurt,1832002,0.9444847779391118
