source,statement,description,link
Joe Biden,"Says Kamala Harris oversaw a police department that was ""abusing people’s rights"" and that she did not ""disclose to defense attorneys"" when there was exculpatory evidence: ""She didn't do that. She never did it. And so, what happened? Along came a federal judge and said enough, enough, and he freed 1,000 of these people.""","stated on July 31, 2019 in a Democratic presidential primary debate:",https://www.politifact.com/factchecks/2019/aug/02/joe-biden/debate-biden-said-google-1000-prisoners-freed-kama/
Ben Carson," ""You look at the homelessness situation. Take a city like Tokyo, which has more people than New York City. There's no homelessness there.""","stated on July 31, 2019 in a press conference:",https://www.politifact.com/factchecks/2019/aug/01/ben-carson/baltimore-talk-ben-carson-highlights-extremely-low/
Tweets,"""Reagan took the deficit from $70 billion to $175 billion. Bush 41 took it to $300 billion. Clinton got it to zero. Bush 43 took it from zero to $1.2 trillion. Obama halved it to $600 billion. Trump’s got it back to a trillion.""","stated on July 23, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/jul/29/tweets/republican-presidents-democrats-contribute-deficit/
Beto O'Rourke,"""We are incarcerating more children than any time ... since we interned Japanese-Americans during World War II""","stated on July 11, 2019 in a public forum:",https://www.politifact.com/factchecks/2019/jul/26/beto-orourke/orourke-point-claim-us-incarcerating-children/
Amy Klobuchar,"""There are, literally, two pharmaceutical lobbyists for every member of Congress.""","stated on July 15, 2019 in comments made at an AARP-sponsored Democratic presidential primary candidate forum:",https://www.politifact.com/factchecks/2019/jul/26/amy-klobuchar/klobuchar-says-there-are-enough-drug-lobbyists-dc-/
Roland Martin,"Republicans ""are advancing federal judges who won't even say that Brown vs. Board of Education was properly decided.""","stated on July 21, 2019 in a panel on ABC's ""This Week"":",https://www.politifact.com/factchecks/2019/jul/25/roland-martin/have-trump-judicial-nominees-refused-comment-brown/
Tulsi Gabbard,"At the same time President Trump talks about supporting veterans, ""he is deporting service members who have volunteered to serve this country."" ","stated on July 11, 2019 in a public forum:",https://www.politifact.com/factchecks/2019/jul/19/tulsi-gabbard/gabbard-hits-target-claim-trump-and-military-depor/
Bernie Sanders,"""In 2014 ... in McDowell County, W.Va., one of the poorest counties in the nation, life expectancy for men was 64 years. In Fairfax County, Va., a wealthy county, just 350 miles away, life expectancy was nearly 82 years, an 18 year differential. The life expectancy gap for women in the two counties was 12 years.""","stated on June 12, 2019 in a speech at George Washington University:",https://www.politifact.com/factchecks/2019/jul/18/bernie-sanders/checking-bernie-sanders-life-expectancy-wva-virgin/
Julián Castro,"Says Section 1325 of U.S. immigration law was ""put into place in 1929, by a segregationist.""","stated on June 30, 2019 in an interview:",https://www.politifact.com/factchecks/2019/jul/12/julian-castro/when-did-it-become-crime-cross-us-mexico-border/
Joe Biden,"""We made parity between mental health and physical health. It was a fundamental breakthrough in how we thought about how things should work.""","stated on July 8, 2019 in a TV interview with CNN's Chris Cuomo:",https://www.politifact.com/factchecks/2019/jul/11/joe-biden/bidens-claim-aca-was-breakthrough-mental-health-pa/
Bernie Sanders,"""No, that’s a mischaracterization of my thinking.""","stated on June 28, 2019 in the Democratic presidential debate in Miami, Florida.:",https://www.politifact.com/factchecks/2019/jul/03/bernie-sanders/bernie-sanders-has-confounding-record-gun-control-/
Kelly E. Hastings,"Said, ""The Seven Years’ War led to near bankruptcy for many countries; Britain’s need to raise taxes fueled the American desire for independence.""","stated on June 30, 2019 in On twitter:",https://www.politifact.com/factchecks/2019/jul/03/kelly-e-hastings/did-taxation-really-cause-american-revolution/
Kamala Harris,"Says ""I was part of the second class to integrate Berkeley, California, public schools."" ","stated on June 27, 2019 in her exchange on busing during the Democratic presidential debate:",https://www.politifact.com/factchecks/2019/jul/02/kamala-harris/was-kamala-harris-part-second-class-integrate-her-/
Donald Trump,"Says Cory Booker has accepted over $400,000 from the pharmaceutical industry during his political career. ","stated on June 26, 2019 in a tweet from the Trump campaign:",https://www.politifact.com/factchecks/2019/jul/02/donald-trump/cory-booker-and-drug-maker-campaign-cash-numbers/
Elizabeth Warren,"""Prison phone companies charge as much as $25 for a 15-minute call."" ","stated on June 21, 2019 in a policy proposal to ban private prisons:",https://www.politifact.com/factchecks/2019/jul/01/elizabeth-warren/warren-correct-inmate-phone-calls-cost-15-minutes/
Jon Erpenbach,"""If out-of-state drivers paid gas tax, they would contribute $73 million to fix our roads""","stated on June 6, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/jun/28/jon-erpenbach/state-lawmakers-gas-tax-claim-gets-green-light/
Bernie Sanders,"""Forty years ago, a federal Pell Grant paid for nearly 80% of tuition, fees, room and board at a four-year college.""","stated on June 24, 2019 in Press conference in Washington D.C.:",https://www.politifact.com/factchecks/2019/jun/26/bernie-sanders/sanders-latest-claim-about-college-costs-only-appl/
Creigh Deeds,"Red-flag laws have been ""shown to reduce the number of suicides by firearms."" ","stated on June 11, 2019 in radio interview.:",https://www.politifact.com/factchecks/2019/jun/19/creigh-deeds/do-red-flag-laws-reduce-gun-suicides-creigh-deeds-/
Dan Bishop,"Said Dan McCready ""got nearly $1 million in support from a Nancy Pelosi aligned dark money org in the 2018 election cycle right after he tweeted, ‘Dark money has no place in our politics’.""","stated on May 31, 2019 in in a Facebook post:",https://www.politifact.com/factchecks/2019/jun/14/dan-bishop/fact-check-bishop-says-dark-money-helped-mccready/
Joe Biden,"""In the Obama-Biden administration, we got China to cut cyber-theft -- it's gotten significantly worse under this administration.""","stated on June 11, 2019 in a campaign speech:",https://www.politifact.com/factchecks/2019/jun/14/joe-biden/joe-biden-says-he-helped-cut-chinas-thefts-us-tech/
Amy Klobuchar,"""Millions of Americans need mental health care. Yet in Iowa, there are just 64 public mental health care beds. And you see similar numbers across the country.""","stated on June 7, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/jun/13/amy-klobuchar/amy-klobuchar-right-state-psychiatric-bed-shortage/
Greg Steube,"""It’s estimated that in 2018 alone, dead people received $1 billion in benefits from Medicare, Medicaid, social security payments, and federal pensions.""","stated on May 28, 2019 in a press release:",https://www.politifact.com/factchecks/2019/jun/13/greg-steube/tab-federal-benefits-dead-1-billion-florida-congre/
Tim Kaine,"""The e-cigarette vaping phenomenon has wiped out all the progress we’ve made on reducing youth smoking.""","stated on May 29, 2019 in a radio interview.:",https://www.politifact.com/factchecks/2019/jun/12/tim-kaine/has-vaping-wiped-out-progress-reducing-youth-smoki/
Kamala Harris,"President Trump’s tariffs are ""taking $1.4 billion out of working people’s pockets every month.""","stated on June 1, 2019 in a speech at the California Democratic Party Convention:",https://www.politifact.com/factchecks/2019/jun/10/kamala-harris/kamala-harris-claims-trumps-tariffs-cost-14-billio/
Michael Bennet,"""The vast majority of Americans believe that climate change is real and we need to do something about it.""","stated on May 30, 2019 in a CNN town hall:",https://www.politifact.com/factchecks/2019/jun/06/michael-bennet/michael-bennet-right-majority-say-effects-global-w/
Taylor Swift,"""The majority of Americans across ALL parties favor these nondiscrimination policies for LGBTQ people (liberals at 81%, moderates at 76% and conservatives at 55%).""","stated on June 1, 2019 in an Instagram post:",https://www.politifact.com/factchecks/2019/jun/05/taylor-swift/taylor-swift-says-most-democrats-independents-repu/
Joe Biden,"""The current school psychologist to student ratio in this country is roughly 1,400 to 1, while experts say it should be at most 700 to 1."" ","stated on May 28, 2019 in a position paper released at a town hall meeting in Houston.:",https://www.politifact.com/factchecks/2019/jun/05/joe-biden/biden-highlights-nations-lack-school-psychologists/
